//
/////////////////////////////////////////// SUNNY
//
// Amb            Amb_Obj        Amb_bl      Amb_Obj_bl     Dir            Sky top        Sky bot        SunCore        SunCorona      SunSz    SprSz    SprBght    Shdw    LightShd    PoleShd    FarClp    FogSt     radiosityIntensity    radiosityLimit    LightOnGround    LowCloudsRGB    TopCloudRGB    BottomCloudRGB    BlurRGB     WaterRGBA          blurAlpha    blurOffset
// Midnight
   119 119 119     95  95  95    21 32 50     37  36  36    101 102 118      9  11  15     33  29  34    255 255   0      5   0   0     1.0     1.5       5.1       148      99           0        1999.0      22.0    30                    146               1.5               19  12   0       0   0   0      0   0   0        5  1 30     13  13  13 156      39.5        2.05     
// 1AM
   116 116 116     95  95  95    22 32 50     36  35  35    100 102 118      7  10  15     32  25  33    207 206   9     18  10   5     1.0     1.5       1.0       122      98           0        1999.0     180.0    30                    147               1.5               40  26  16       0   0   0      0   0   0        4  1 30     15  15  13 158    39.625       2.062     
// 2AM
   113 113 113     95  95  95    24 33 50     35  35  35    100 103 118      6   9  16     30  22  32    159 157  19     31  20  11     1.0     1.5       1.0       122      98           0        1999.0     339.0    30                    147               1.5               62  40  32       0   0   0      0   0   0        3  0 30     18  16  14 161     39.75       2.075     
// 3AM
   110 110 110     95  95  95    25 33 50     34  34  34    100 104 118      4   8  17     30  19  32    111 108  29     44  30  17     1.0     1.6       1.0       122      98           0        1999.0     498.0    30                    148               1.5               83  54  48       0   0   0      0   0   0        2  0 30     21  18  15 163    39.875       2.087     
// 4AM
   108 108 108     95  95  95    27 34 50     34  34  34    100 105 119      3   8  18     51  16   2     63  59  39     58  41  23     1.0     1.6       1.0       123      99           0         953.0     -64.0    30                    149               1.5              105  68  64       0   0   0      0   0   0        2  0 30     24  20  17 166      40.0         2.1     
// 5AM
   121 119 139     95  95  95    64 46 24     44  43  43    255 230 202     99 168 188    255 221 112     62  50  29     58  40  21     5.6     1.7       1.0       123      99           0        1118.0     400.0    30                    169               1.5              187 140   0     255 255 255    185 168  80        0 33 15     66 101  74 171      39.0         2.1     
// 6AM
   150 150 150     90  90  90    58 42 23     54  53  52    252 230 195    110 179 197    208 176  68     82  56  25    103  68  35    10.1     1.0       1.0       139     100           0        1235.0     301.0    21                    103               0.8              100  47  35     255 255 255    204 167  76        0  0  0     33 111  89 164      39.0         2.1     
// 7AM
   185 185 128     90  90  90    52 39 23     64  63  61    249 231 189    121 190 207    173 183  98    102  62  22    148  96  49     9.9     1.0       1.0       155      50           0        1351.0     202.0    12                    135               0.5              125  81  71     255 255 255    207 176  79        0  0  0      1 122 105 158    39.167         2.1     
// 8AM
   190 190 134     90  90  90    52 39 23     75  73  70    246 232 183    133 201 216    138 191 128    132  75  17    169 101  49     9.8     1.0       1.0       155      50           0        1467.0     103.0    12                    134               0.5              151 116 108     255 255 255    210 186  83        0  0  0      1 122 105 158    39.333         2.1     
// 9AM
   196 196 141    100  90  85    52 40 24     81  79  75    244 233 177    144 212 226    104 199 159    162  88  13    190 107  50     9.8     1.0       1.0       171       0          30        1583.0       5.0    12                    135               1.0              177 151 145     255 255 255    214 195  87        0  0  0     11 124 112 151      39.5         2.1     
// 10AM
   202 202 148    100 100 100    53 41 24     88  85  80    241 234 171    156 223 235     69 206 189    193 101   8    211 112  51     9.6     1.0       1.0       188       0          60        1700.0      -1.0    11                    134               1.0              203 185 181     254 254 254    217 204  90        0  0  0     21 126 119 144    39.667         2.1     
// 11AM
   208 208 155    100 100 100    53 41 25     94  91  85    238 235 165    167 234 245     34 214 219    223 114   4    232 118  52     9.5     1.0       1.0       204       0          90        1816.0      37.0    12                    135               1.0              229 220 218     254 254 254    220 214  94        0  0  0     31 128 126 137    39.833         2.1     
// Amb            Amb_Obj        Amb_bl      Amb_Obj_bl     Dir            Sky top        Sky bot        SunCore        SunCorona      SunSz    SprSz    SprBght    Shdw    LightShd    PoleShd    FarClp    FogSt     radiosityIntensity    radiosityLimit    LightOnGround    LowCloudsRGB    TopCloudRGB    BottomCloudRGB    BlurRGB     WaterRGBA          blurAlpha    blurOffset
// Midday
   214 214 162    100 100 100    54 42 26    101  97  91    236 236 159    179 246 255      0 222 250    254 128   0    254 124  54     9.5     1.0       1.0       221       0         120        1932.0      53.0    11                    134               1.0              255 255 255     255 255 255    224 224  98        0  0  0     42 131 134 130      40.0         2.1     
// 1PM
   220 220 168    100 100 100    54 43 26     95  91  85    239 237 163    158 247 254      0 219 247    254 128   0    254 124  54     8.9     1.0       1.0       229       0         120        1914.0      69.0    11                    134               1.0              234 231 231     255 255 255    229 229 112        0  0  0     39 126 125 125      39.8         2.1     
// 2PM
   226 226 175    100 100 100    55 44 27     90  87  79    242 239 167    138 248 254      0 217 245    253 128   0    253 123  54     8.4     1.0       1.0       238       0         120        1896.0      60.0    11                    134               1.0              214 207 207     255 255 255    234 233 127        0  0  0     37 122 116 121      39.6         2.1     
// 3PM
   232 232 182    100 100 100    55 44 28     85  82  74    245 241 171    118 249 253      0 215 242    254 128   0    254 124  54     7.9     1.0       1.0       247       0         120        1877.0      51.0    11                    134               1.0              194 183 183     255 255 255    239 239 143        0  0  0     35 118 108 117      39.4         2.1     
// 4PM
   238 238 189    100 100 100    56 45 28     80  76  68    248 242 175     97 250 252      0 213 240    253 127   0    253 123  53     7.4     1.0       1.0       234       0         119        1859.0      33.0    11                    134               1.0              174 158 158     254 254 254    244 243 158        0  0  0     33 114  99 113      39.2         2.1     
// 5PM
   244 244 196    100 100 100    56 46 29     75  72  63    251 244 179     77 251 252      0 212 238    253 128   0    253 123  53     6.9     1.0       1.0       227       0         119        1841.0      24.0    11                    134               0.4              154 134 134     254 254 254    249 248 172        0  0  0     31 111  91 109      39.0         2.1     
// 6PM
   250 250 203    100 100 100    57 47 30    119 114  99    255 246 184     57 253 252    213 186  71    254 128   0    254 124  54     6.5     1.8       1.0       221       0         120        1823.0      24.0    12                    135               1.0              134 111 111     255 255 255    255 254 188        0  0  0     76 140 100 106      39.0       2.067     
// 7PM
    48  45  29    100 100 100    53 30  0     62  48  24    252 165  86    156 102 255    191 163  78    124  62   0    135  66  28    10.1     1.8       1.0       201      30          68        1877.0      23.0    60                    162               1.0              255  72   4     255 146  70    255 201  68        4  1 15     68  38   1 103      39.0       2.033     
// 8PM
